ats,token,company,roles_fetched,vendor_claimed,verdict,vendor_publishes_count,error
ashby,Unwrap,,7,,unverifiable,no,
ashby,VREY,,34,,unverifiable,no,
ashby,Vic.ai,,6,,unverifiable,no,
ashby,Viz.ai,,14,,unverifiable,no,
ashby,Vogel,,26,,unverifiable,no,
ashby,Vori,,11,,unverifiable,no,
ashby,WA.Technology,,0,,unverifiable,no,
ashby,Winona,,4,,unverifiable,no,
ashby,Wisdom-AI,,17,,unverifiable,no,
ashby,Zania,,10,,unverifiable,no,
ashby,Zello,,7,,unverifiable,no,
ashby,a-place-for-mom,,40,,unverifiable,no,
ashby,a-team,,2,,unverifiable,no,
ashby,a16z-new-media,,14,,unverifiable,no,
ashby,abacum,,15,,unverifiable,no,
ashby,abound,,18,,unverifiable,no,
ashby,abridge,,41,,unverifiable,no,
ashby,absci,Absci,5,,unverifiable,no,
ashby,absentia-labs,,4,,unverifiable,no,
ashby,absorblms,,39,,unverifiable,no,
ashby,abundant,,9,,unverifiable,no,
ashby,access,Access Destination Services,20,,unverifiable,no,
ashby,accurx,,11,,unverifiable,no,
ashby,ace-1-media,,3,,unverifiable,no,
ashby,aceve,,17,,unverifiable,no,
ashby,achilleshr,,2,,unverifiable,no,
ashby,achira,,7,,unverifiable,no,
ashby,acorns,,9,,unverifiable,no,
ashby,acquisition,,11,,unverifiable,no,
ashby,activesite,,1,,unverifiable,no,
ashby,adaption,,8,,unverifiable,no,
ashby,adaptive,Adaptive Biotechnologies,11,,unverifiable,no,
ashby,adaptive-innovations,,8,,unverifiable,no,
ashby,adaptivesecurity,,11,,unverifiable,no,
ashby,adaptyv,,34,,unverifiable,no,
ashby,addi,,36,,unverifiable,no,
ashby,additiveai,,4,,unverifiable,no,
ashby,aditude,,7,,unverifiable,no,
ashby,adjoe,,42,,unverifiable,no,
ashby,adonis,,10,,unverifiable,no,
ashby,adthena,,8,,unverifiable,no,
ashby,aegis-ai,,25,,unverifiable,no,
ashby,aescape,,9,,unverifiable,no,
ashby,afterquery,,38,,unverifiable,no,
ashby,agavegames,,4,,unverifiable,no,
ashby,agent,,34,,unverifiable,no,
ashby,agentio,,20,,unverifiable,no,
ashby,agi-inc,,6,,unverifiable,no,
ashby,agreena,,1,,unverifiable,no,
ashby,aida,,3,,unverifiable,no,
ashby,aidkit,,2,,unverifiable,no,
ashby,aim,AIM,21,,unverifiable,no,
ashby,aios,AIOS  (YC W20/S21),17,,unverifiable,no,
ashby,airbyte,Airbyte,13,,unverifiable,no,
ashby,airgarage,,6,,unverifiable,no,
ashby,airops,,20,,unverifiable,no,
ashby,airspace-intelligence.com,,30,,unverifiable,no,
ashby,airspeed,,3,,unverifiable,no,
ashby,airtasker,,5,,unverifiable,no,
ashby,airwallex,Airwallex,583,,unverifiable,no,
ashby,aisle,,10,,unverifiable,no,
ashby,aiwyn,,8,,unverifiable,no,
ashby,aka,,4,,unverifiable,no,
ashby,akasa,,11,,unverifiable,no,
ashby,alan,Alan,116,,unverifiable,no,
ashby,alaro,,2,,unverifiable,no,
ashby,alcazar-energy,,15,,unverifiable,no,
ashby,alchemy,,20,,unverifiable,no,
ashby,alembic,,13,,unverifiable,no,
ashby,aleph,,13,,unverifiable,no,
ashby,alexai,,4,,unverifiable,no,
ashby,allarahealth,Allara,211,,unverifiable,no,
ashby,allica-bank,,44,,unverifiable,no,
ashby,allium,,11,,unverifiable,no,
ashby,alljoined,,6,,unverifiable,no,
ashby,allminds,,0,,unverifiable,no,
ashby,alloyenterprises,,5,,unverifiable,no,
ashby,alloyriver,,1,,unverifiable,no,
ashby,allspice,,6,,unverifiable,no,
ashby,almedia,,48,,unverifiable,no,
ashby,alpenlabs,,5,,unverifiable,no,
ashby,alpha-design-ai-inc,,13,,unverifiable,no,
ashby,alphalifesci,,7,,unverifiable,no,
ashby,alpic,,8,,unverifiable,no,
ashby,alta-ares,,21,,unverifiable,no,
ashby,alternativepayments,,13,,unverifiable,no,
ashby,altimate,,6,,unverifiable,no,
ashby,altruistiq,,0,,unverifiable,no,
ashby,altura,Altura,5,,unverifiable,no,
ashby,amari,,3,,unverifiable,no,
ashby,amber,amber,18,,unverifiable,no,
ashby,ambiencehealthcare,,14,,unverifiable,no,
ashby,ambient.ai,,22,,unverifiable,no,
ashby,amboss,,23,,unverifiable,no,
ashby,ambrook,,15,,unverifiable,no,
ashby,ameba,,2,,unverifiable,no,
ashby,american-housing,,10,,unverifiable,no,
ashby,ami,,7,,unverifiable,no,
ashby,amo,,31,,unverifiable,no,
ashby,amplify,Amplify,35,,unverifiable,no,
ashby,amplitude,Amplitude,0,,unreachable,no,HTTP 404
ashby,amplo,,1,,unverifiable,no,
ashby,anam,,0,,unverifiable,no,
ashby,anara,,0,,unverifiable,no,
ashby,andela,,17,,unverifiable,no,
ashby,ando,,6,,unverifiable,no,
ashby,andotechnologies,,3,,unverifiable,no,
ashby,andromeda,Andromeda Cluster,19,,unverifiable,no,
ashby,anglehealth,,1,,unverifiable,no,
ashby,ankar,,13,,unverifiable,no,
ashby,annaautismcare,,15,,unverifiable,no,
ashby,anrok,,20,,unverifiable,no,
ashby,answersnow,,4,,unverifiable,no,
ashby,antares,Antares,82,,unverifiable,no,
ashby,anterior,,5,,unverifiable,no,
ashby,antimetal,,9,,unverifiable,no,
ashby,antithesis,,30,,unverifiable,no,
ashby,anuvaya,,7,,unverifiable,no,
ashby,anyone-ai,Anyone AI,195,,unverifiable,no,
ashby,anyscale,Anyscale,21,,unverifiable,no,
ashby,anysignal,,20,,unverifiable,no,
ashby,anything,,4,,unverifiable,no,
ashby,anyvan,,22,,unverifiable,no,
ashby,apella,,1,,unverifiable,no,
ashby,apex-technology-inc,"Apex Technology, Inc.",113,,unverifiable,no,
ashby,apify,,10,,unverifiable,no,
ashby,apolink,,2,,unverifiable,no,
ashby,apollo-graphql,,7,,unverifiable,no,
ashby,applied,Applied Intuition,288,,unverifiable,no,
ashby,appliedlabs,,3,,unverifiable,no,
ashby,applike-group,,8,,unverifiable,no,
ashby,april,,16,,unverifiable,no,
ashby,apron,,1,,unverifiable,no,
ashby,aquarianlp,,5,,unverifiable,no,
ashby,aquark,,1,,unverifiable,no,
ashby,arago,,18,,unverifiable,no,
ashby,arb-interactive,,4,,unverifiable,no,
ashby,arbiter-ai,,1,,unverifiable,no,
ashby,arbor,Arbor,2,,unverifiable,no,
ashby,arca,,9,,unverifiable,no,
ashby,arcade,,4,,unverifiable,no,
ashby,arcadeai,,6,,unverifiable,no,
ashby,arch,Arch,6,,unverifiable,no,
ashby,arch.co,,22,,unverifiable,no,
ashby,arcturus,Arcturus,9,,unverifiable,no,
ashby,arena,"Arena Intelligence, Inc.",18,,unverifiable,no,
ashby,arenanet,,2,,unverifiable,no,
ashby,argon-ai,,1,,unverifiable,no,
ashby,arketa,,12,,unverifiable,no,
ashby,arlo,Arlo,13,,unverifiable,no,
ashby,aro.homes,,9,,unverifiable,no,
ashby,arq,,33,,unverifiable,no,
ashby,array-behavioral-care,,25,,unverifiable,no,
ashby,arrive,Arrive,73,,unverifiable,no,
ashby,artafinance,,11,,unverifiable,no,
ashby,artemis,Artemis,17,,unverifiable,no,
ashby,artemisanalytics,,0,,unreachable,no,HTTP 404
ashby,arthur,Arthur Robotics,1,,unverifiable,no,
ashby,arthur-ai,,2,,unverifiable,no,
ashby,articul8,,20,,unverifiable,no,
ashby,artisan,Artisan,4,,unverifiable,no,
ashby,artosai,,5,,unverifiable,no,
ashby,artsy,,3,,unverifiable,no,
ashby,asari.ai,,3,,unverifiable,no,
ashby,ashby,Ashby,71,,unverifiable,no,
ashby,ashgro,,1,,unverifiable,no,
ashby,aspora,,6,,unverifiable,no,
ashby,assemble,,1,,unverifiable,no,
ashby,assembledhq,,15,,unverifiable,no,
ashby,assembly,,4,,unverifiable,no,
ashby,assorthealth,,27,,unverifiable,no,
ashby,assured,ASSURED GUARANTY,40,,unverifiable,no,
ashby,astera,Astera Labs,44,,unverifiable,no,
ashby,asteriai,,5,,unverifiable,no,
ashby,astra,Astra,10,,unverifiable,no,
ashby,astro-mechanica,,46,,unverifiable,no,
ashby,astronomer,Astronomer,21,,unverifiable,no,
ashby,asula,,3,,unverifiable,no,
ashby,asymmetric.re,,1,,unverifiable,no,
ashby,ataraxis-ai,,12,,unverifiable,no,
ashby,athena-hq,,4,,unverifiable,no,
ashby,atira,,11,,unverifiable,no,
ashby,atlan,,8,,unverifiable,no,
ashby,atlas,Atlas,7,,unverifiable,no,
ashby,atlasonc,,11,,unverifiable,no,
ashby,atob,,9,,unverifiable,no,
ashby,atomic,Atomic,8,,unverifiable,no,
ashby,atomic-financial,,1,,unverifiable,no,
ashby,atomic-invest,,5,,unverifiable,no,
ashby,atrato,,3,,unverifiable,no,
ashby,atrix,,1,,unverifiable,no,
ashby,attention,,2,,unverifiable,no,
ashby,atticus,,16,,unverifiable,no,
ashby,attio,Attio,36,,unverifiable,no,
ashby,auctor,,12,,unverifiable,no,
ashby,audiohook,,11,,unverifiable,no,
ashby,augmodo,,6,,unverifiable,no,
ashby,august,,12,,unverifiable,no,
ashby,august-health,,5,,unverifiable,no,
ashby,aurelian,,11,,unverifiable,no,
ashby,aureliussystems,,17,,unverifiable,no,
ashby,aurorasolar,Aurora Solar,14,,unverifiable,no,
ashby,authzed,,3,,unverifiable,no,
ashby,automat,,7,,unverifiable,no,
ashby,autoscience,,5,,unverifiable,no,
ashby,ava-labs,,6,,unverifiable,no,
ashby,avelios-medical,,52,,unverifiable,no,
ashby,avid4,,1,,unverifiable,no,
ashby,avida,,2,,unverifiable,no,
ashby,avoca,,25,,unverifiable,no,
ashby,away,Away,27,,unverifiable,no,
ashby,axelera,,11,,unverifiable,no,
ashby,axiom,Axiom,3,,unverifiable,no,
ashby,axion,,13,,unverifiable,no,
ashby,axle-careers,,13,,unverifiable,no,
ashby,axle-health,,6,,unverifiable,no,
ashby,axle-mobility,,2,,unverifiable,no,
ashby,b2spin,,19,,unverifiable,no,
ashby,backflip,,3,,unverifiable,no,
ashby,backflip.ai,,1,,unverifiable,no,
ashby,backmarket,,28,,unverifiable,no,
ashby,bankjoy,,8,,unverifiable,no,
ashby,bantamcommunications,,3,,unverifiable,no,
ashby,barkbus,,18,,unverifiable,no,
ashby,barnes,Barnes &amp; Thornburg LLP,99,,unverifiable,no,
ashby,basata,,4,,unverifiable,no,
ashby,base,,7,,unverifiable,no,
ashby,base-operations,,1,,unverifiable,no,
ashby,base-power,Base Power Company,194,,unverifiable,no,
ashby,baseten,,99,,unverifiable,no,
ashby,basiccapital,,18,,unverifiable,no,
ashby,basis-ai,,42,,unverifiable,no,
ashby,basis-research,,13,,unverifiable,no,
ashby,baton,,2,,unverifiable,no,
ashby,batoncorporation,,9,,unverifiable,no,
ashby,bayesianhealth,,10,,unverifiable,no,
ashby,beaconai,,14,,unverifiable,no,
ashby,beacons,,0,,unverifiable,no,
ashby,beaconsoftware,,46,,unverifiable,no,
ashby,beam-up,,27,,unverifiable,no,
ashby,beamery,,4,,unverifiable,no,
ashby,beamimpact,,4,,unverifiable,no,
ashby,bedrock-robotics,,40,,unverifiable,no,
ashby,bedrockocean,,5,,unverifiable,no,
ashby,believer,,2,,unverifiable,no,
ashby,belvo,,6,,unverifiable,no,
ashby,bem,,2,,unverifiable,no,
ashby,ben,,8,,unverifiable,no,
ashby,benchling,Benchling,52,,unverifiable,no,
ashby,benepass,,5,,unverifiable,no,
ashby,beparallel,,11,,unverifiable,no,
ashby,bespokelabs,,2,,unverifiable,no,
ashby,bestow,,25,,unverifiable,no,
ashby,bettercloud,,2,,unverifiable,no,
ashby,bettermoney,,6,,unverifiable,no,
ashby,betterup,,9,,unverifiable,no,
ashby,bevel,,5,,unverifiable,no,
ashby,bicara-therapeutics,Bicara Therapeutics,11,,unverifiable,no,
ashby,bifrost,,3,,unverifiable,no,
ashby,biggergames,,13,,unverifiable,no,
ashby,bild-ai,,4,,unverifiable,no,
ashby,billie,,0,,unverifiable,no,
ashby,billups,,12,,unverifiable,no,
ashby,binalyze,,2,,unverifiable,no,
ashby,binance.us,,9,,unverifiable,no,
ashby,binti,,11,,unverifiable,no,
ashby,bio,BIO,11,,unverifiable,no,
ashby,bioptimizers,,1,,unverifiable,no,
ashby,birdie,Birdie,2,,unverifiable,no,
ashby,bitvavo,,6,,unverifiable,no,
ashby,bivacor-inc,,14,,unverifiable,no,
ashby,bjakcareer,Bjak,3045,,unverifiable,no,
ashby,blackbird-labs-inc,,6,,unverifiable,no,
ashby,blackbox-strategies,,18,,unverifiable,no,
ashby,blacksemiconductor,,37,,unverifiable,no,
ashby,blacksmith,,20,,unverifiable,no,
ashby,blackstar,,4,,unverifiable,no,
ashby,bland,,19,,unverifiable,no,
ashby,blankexampleinstance,,1,,unverifiable,no,
ashby,blink,Blink Ops,0,,unverifiable,no,
ashby,bliro,,6,,unverifiable,no,
ashby,blissway,,8,,unverifiable,no,
ashby,blitzy,,29,,unverifiable,no,
ashby,blockdaemon,,2,,unverifiable,no,
ashby,blockhouse,,0,,unverifiable,no,
ashby,blockit,,5,,unverifiable,no,
ashby,blockstream,,52,,unverifiable,no,
ashby,blooming-health,,3,,unverifiable,no,
ashby,blue-energy,,20,,unverifiable,no,
ashby,blueberrypediatrics,,10,,unverifiable,no,
ashby,bluenote,,2,,unverifiable,no,
ashby,blumen,,2,,unverifiable,no,
ashby,boam,,6,,unverifiable,no,
ashby,bobyard,,36,,unverifiable,no,
ashby,bold,Bold Commerce,0,,unverifiable,no,
ashby,boldgames,,3,,unverifiable,no,
ashby,bookkeeper360,,3,,unverifiable,no,
ashby,boom,,7,,unverifiable,no,
ashby,boon,,3,,unverifiable,no,
ashby,bounce,,6,,unverifiable,no,
ashby,brainco,,34,,unverifiable,no,
ashby,brainly,,1,,unverifiable,no,
ashby,braintrust,,28,,unverifiable,no,
ashby,brale,,1,,unverifiable,no,
ashby,branchinsurance,,7,,unverifiable,no,
ashby,bratte,,3,,unverifiable,no,
ashby,bravehealth,,65,,unverifiable,no,
ashby,breaker,,3,,unverifiable,no,
ashby,breakmark,,5,,unverifiable,no,
ashby,bree,,10,,unverifiable,no,
ashby,brelle,,3,,unverifiable,no,
ashby,brellium,,11,,unverifiable,no,
ashby,brettonai,,8,,unverifiable,no,
ashby,bridgepoint-consulting,,34,,unverifiable,no,
ashby,bridger,,3,,unverifiable,no,
ashby,brightstar-ai,,1,,unverifiable,no,
ashby,brightwheel,,15,,unverifiable,no,
ashby,brigit,,18,,unverifiable,no,
ashby,brimstone,,2,,unverifiable,no,
ashby,brinc,,33,,unverifiable,no,
ashby,brisk-teaching,,1,,unverifiable,no,
ashby,brm.ai,,3,,unverifiable,no,
ashby,broccoli,,41,,unverifiable,no,
ashby,brooklyn-health,,19,,unverifiable,no,
ashby,browse.ai,,0,,unverifiable,no,
ashby,browserbase,,6,,unverifiable,no,
ashby,brunswick,Sevaro - Physician/Clinical Roles,5,,unverifiable,no,
ashby,bubble,,8,,unverifiable,no,
ashby,buena,,17,,unverifiable,no,
ashby,buffer,Buffer,1,,unverifiable,no,
ashby,builder-prime,,1,,unverifiable,no,
ashby,buildforce,,1,,unverifiable,no,
ashby,built-robotics,,7,,unverifiable,no,
ashby,bunch,,30,,unverifiable,no,
ashby,bunkerhillhealth,,4,,unverifiable,no,
ashby,bureau,,16,,unverifiable,no,
ashby,burklandassociates,,3,,unverifiable,no,
ashby,buspatrol,,11,,unverifiable,no,
ashby,butterflymx,,24,,unverifiable,no,
ashby,bynder,,24,,unverifiable,no,
ashby,c1,C1,12,,unverifiable,no,
ashby,callosum,,17,,unverifiable,no,
ashby,camber,Camber,15,,unverifiable,no,
ashby,cambio,,9,,unverifiable,no,
ashby,cambium,Cambium Networks,6,,unverifiable,no,
ashby,campfire,,35,,unverifiable,no,
ashby,campus,,20,,unverifiable,no,
ashby,camunda,,34,,unverifiable,no,
ashby,canals,,27,,unverifiable,no,
ashby,candidhealth,,37,,unverifiable,no,
ashby,candidintelligence,,7,,unverifiable,no,
ashby,cantina,,21,,unverifiable,no,
ashby,canvas-medical,,4,,unverifiable,no,
ashby,capchase,,6,,unverifiable,no,
ashby,capimoney,,8,,unverifiable,no,
ashby,capsule,,9,,unverifiable,no,
ashby,cara-ai,,9,,unverifiable,no,
ashby,cardless,,25,,unverifiable,no,
ashby,careers.azx.io,,8,,unverifiable,no,
ashby,careerstrengo,,6,,unverifiable,no,
ashby,careway,,3,,unverifiable,no,
ashby,cargado,,1,,unverifiable,no,
ashby,cargo-one,,3,,unverifiable,no,
ashby,caribou,,3,,unverifiable,no,
ashby,carnot-ai,,9,,unverifiable,no,
ashby,cartesia,,30,,unverifiable,no,
ashby,caruso,,3,,unverifiable,no,
ashby,carwow,,34,,unverifiable,no,
ashby,cas,,12,,unverifiable,no,
ashby,casa,,17,,unverifiable,no,
ashby,casca,,9,,unverifiable,no,
ashby,castle,,2,,unverifiable,no,
ashby,catchafire,,3,,unverifiable,no,
ashby,category-labs,,3,,unverifiable,no,
ashby,catena,,4,,unverifiable,no,
ashby,causal,,20,,unverifiable,no,
ashby,causaly,,5,,unverifiable,no,
ashby,cbai,,5,,unverifiable,no,
ashby,cchn,,1,,unverifiable,no,
ashby,ceartas,,0,,unverifiable,no,
ashby,cedar,Cedar,3,,unverifiable,no,
ashby,centari,,4,,unverifiable,no,
ashby,centerfield,,17,,unverifiable,no,
ashby,centivo,,17,,unverifiable,no,
ashby,centreforeffectivealtruism,,4,,unverifiable,no,
ashby,cerebras,Cerebras Systems,113,,unverifiable,no,
ashby,certifyos,,11,,unverifiable,no,
ashby,chaidiscovery,,15,,unverifiable,no,
ashby,chainalysis-careers,,50,,unverifiable,no,
ashby,chakra-labs,,4,,unverifiable,no,
ashby,chambercardio,,6,,unverifiable,no,
ashby,change,Change Agents,8,,unverifiable,no,
ashby,character,,13,,unverifiable,no,
ashby,charge-robotics,,14,,unverifiable,no,
ashby,chartis,,40,,unverifiable,no,
ashby,chatbase,,3,,unverifiable,no,
ashby,chattermill,,3,,unverifiable,no,
ashby,check-technologies,,19,,unverifiable,no,
ashby,checkatrade,,21,,unverifiable,no,
ashby,checkly,,5,,unverifiable,no,
ashby,checkout.com,Checkout.com,159,,unverifiable,no,
ashby,chief,,5,,unverifiable,no,
ashby,chilipiper,,2,,unverifiable,no,
ashby,choco,,3,,unverifiable,no,
ashby,chromatic,,6,,unverifiable,no,
ashby,cinder,,8,,unverifiable,no,
ashby,circuithub,,8,,unverifiable,no,
ashby,ciroos,,8,,unverifiable,no,
ashby,citadel-ai,,2,,unverifiable,no,
ashby,civicmarketplace,,1,,unverifiable,no,
ashby,civilgrid,,7,,unverifiable,no,
ashby,claim-health,,8,,unverifiable,no,
ashby,claimsorted,,16,,unverifiable,no,
ashby,clarasight,,13,,unverifiable,no,
ashby,clarify,,2,,unverifiable,no,
ashby,clarisights,,0,,unreachable,no,HTTP 404
ashby,claritypediatrics,,22,,unverifiable,no,
ashby,clarium,,8,,unverifiable,no,
ashby,clasp-group,,6,,unverifiable,no,
ashby,classdojo,,9,,unverifiable,no,
ashby,claylabs,,58,,unverifiable,no,
ashby,clearbank,,10,,unverifiable,no,
ashby,clearco,,3,,unverifiable,no,
ashby,clearly-ai,,1,,unverifiable,no,
ashby,clickhouse,ClickHouse,192,,unverifiable,no,
ashby,clickup,ClickUp,60,,unverifiable,no,
ashby,climatiq,Climatiq,2,,unverifiable,no,
ashby,clipboard,Clipboard Health,37,,unverifiable,no,
ashby,close,,7,,unverifiable,no,
ashby,cloudtrucks,,3,,unverifiable,no,
ashby,clubhouse,,5,,unverifiable,no,
ashby,cluely,,4,,unverifiable,no,
ashby,cobot,,10,,unverifiable,no,
ashby,cocodelivery,,12,,unverifiable,no,
ashby,codat,Codat,4,,unverifiable,no,
ashby,code-metal,,39,,unverifiable,no,
ashby,coder,,33,,unverifiable,no,
ashby,coderabbit,,46,,unverifiable,no,
ashby,codesphere,,10,,unverifiable,no,
ashby,codeway,,10,,unverifiable,no,
ashby,codex,Codex,6,,unverifiable,no,
ashby,coefficientgiving,,5,,unverifiable,no,
ashby,coframe,,14,,unverifiable,no,
ashby,cogent-security,,30,,unverifiable,no,
ashby,cognition,Cognition,97,,unverifiable,no,
ashby,cohere,Cohere,141,,unverifiable,no,
ashby,cointracker,,0,,unverifiable,no,
ashby,collective,Collective,14,,unverifiable,no,
ashby,colonist,,7,,unverifiable,no,
ashby,column,Column,18,,unverifiable,no,
